fold,test_location,train_windows,test_windows,train_events,test_events,fall_events,w_norm,w_fall,best_epoch,best_val_f1,selected_tau,acc_050,prec_050,sens_050,spec_050,f1_050,event_sens_050,cm_050,acc_tau,prec_tau,sens_tau,spec_tau,f1_tau,event_sens_tau,cm_tau,latency_ms,train_time_sec
Fold 1,Coffee_room_01,894,502,80,47,47,0.6081632653061224,2.811320754716981,42,0.8421052631578948,0.4,0.9462151394422311,0.8835978835978836,0.9709302325581395,0.9333333333333333,0.9252077562326869,100.0,"[[308, 22], [5, 167]]",0.9482071713147411,0.8842105263157894,0.9767441860465116,0.9333333333333333,0.9281767955801105,100.0,"[[308, 22], [4, 168]]",0.850621513944431,38.50639919999958
Fold 2,Coffee_room_02,986,410,107,20,12,0.7022792022792023,1.7359154929577465,43,0.8529411764705882,0.4,0.9878048780487805,0.9038461538461539,1.0,0.9862258953168044,0.9494949494949495,100.0,"[[358, 5], [0, 47]]",0.9804878048780488,0.8545454545454545,1.0,0.977961432506887,0.9215686274509803,100.0,"[[355, 8], [0, 47]]",0.8466843902413795,43.67054469999857
Fold 3,Home_01,1157,239,97,30,30,0.6315502183406113,2.400414937759336,47,0.935064935064935,0.5,0.702928870292887,0.8275862068965517,0.26666666666666666,0.9664429530201343,0.4033613445378151,46.666666666666664,"[[144, 5], [66, 24]]",0.702928870292887,0.8275862068965517,0.26666666666666666,0.9664429530201343,0.4033613445378151,46.666666666666664,"[[144, 5], [66, 24]]",0.8602987447725297,51.127464600001986
Fold 4,Home_02,1151,245,97,30,7,0.6834916864608076,1.8624595469255663,44,0.8990825688073394,0.5,0.9183673469387755,0.5384615384615384,0.6363636363636364,0.9461883408071748,0.5833333333333334,85.71428571428571,"[[211, 12], [8, 14]]",0.9183673469387755,0.5384615384615384,0.6363636363636364,0.9461883408071748,0.5833333333333334,85.71428571428571,"[[211, 12], [8, 14]]",0.794364489797308,50.37569369999983
