model_key,model_name,fold_num,fold_name,test_location,trainable_params,best_epoch,best_tau,train_time_s,infer_latency_ms,acc_050,prec_050,sens_050,spec_050,f1_050,event_sens_050,acc_tau,prec_tau,sens_tau,spec_tau,f1_tau
gru,Model G1 (1-Layer GRU),1,Fold 1,Coffee_room_01,46498,49,0.45,22.488350399999945,0.8120741035854444,0.9342629482071713,0.8971428571428571,0.9127906976744186,0.9454545454545454,0.9048991354466859,95.74468085106383,0.9342629482071713,0.8971428571428571,0.9127906976744186,0.9454545454545454,0.9048991354466859
gru,Model G1 (1-Layer GRU),2,Fold 2,Coffee_room_02,46498,47,0.55,26.504718899999716,0.5402921951216983,0.926829268292683,0.6349206349206349,0.851063829787234,0.9366391184573003,0.7272727272727273,91.66666666666666,0.926829268292683,0.6349206349206349,0.851063829787234,0.9366391184573003,0.7272727272727273
gru,Model G1 (1-Layer GRU),3,Fold 3,Home_01,46498,38,0.4,31.92038270000012,0.4734794979070494,0.8242677824267782,0.8157894736842105,0.6888888888888889,0.9060402684563759,0.746987951807229,93.10344827586206,0.8242677824267782,0.8157894736842105,0.6888888888888889,0.9060402684563759,0.746987951807229
gru,Model G1 (1-Layer GRU),4,Fold 4,Home_02,46498,23,0.5,31.96315770000001,0.4618538775521672,0.9224489795918367,0.6153846153846154,0.36363636363636365,0.9775784753363229,0.4571428571428572,42.857142857142854,0.9224489795918367,0.6153846153846154,0.36363636363636365,0.9775784753363229,0.4571428571428572
lstm,Model G2 (1-Layer LSTM),1,Fold 1,Coffee_room_01,61282,45,0.5,24.053832000000057,0.5274876494021523,0.9183266932270916,0.8742857142857143,0.8895348837209303,0.9333333333333333,0.8818443804034583,95.74468085106383,0.9183266932270916,0.8742857142857143,0.8895348837209303,0.9333333333333333,0.8818443804034583
lstm,Model G2 (1-Layer LSTM),2,Fold 2,Coffee_room_02,61282,25,0.35000000000000003,27.08708809999962,0.5159731707319624,0.9341463414634147,0.6515151515151515,0.9148936170212766,0.9366391184573003,0.7610619469026548,91.66666666666666,0.9341463414634147,0.6515151515151515,0.9148936170212766,0.9366391184573003,0.7610619469026548
lstm,Model G2 (1-Layer LSTM),3,Fold 3,Home_01,61282,38,0.5,32.681873700000324,0.4784539748953994,0.8200836820083682,0.7764705882352941,0.7333333333333333,0.87248322147651,0.7542857142857142,93.10344827586206,0.8200836820083682,0.7764705882352941,0.7333333333333333,0.87248322147651,0.7542857142857142
lstm,Model G2 (1-Layer LSTM),4,Fold 4,Home_02,61282,14,0.55,32.49840049999966,0.43907714285635346,0.9224489795918367,0.5789473684210527,0.5,0.9641255605381166,0.5365853658536586,57.14285714285714,0.9183673469387755,0.5555555555555556,0.45454545454545453,0.9641255605381166,0.5
tcn,Model G3 (1D TCN),1,Fold 1,Coffee_room_01,83618,38,0.6500000000000001,26.81139489999987,0.543119721115034,0.9183266932270916,0.896969696969697,0.8604651162790697,0.9484848484848485,0.8783382789317508,93.61702127659575,0.8864541832669323,0.891156462585034,0.7616279069767442,0.9515151515151515,0.8213166144200628
tcn,Model G3 (1D TCN),2,Fold 2,Coffee_room_02,83618,6,0.45,29.915381100000104,0.549561463413938,0.9073170731707317,0.5584415584415584,0.9148936170212766,0.90633608815427,0.6935483870967742,100.0,0.9024390243902439,0.5443037974683544,0.9148936170212766,0.9008264462809917,0.6825396825396824
tcn,Model G3 (1D TCN),3,Fold 3,Home_01,83618,36,0.5,35.7706019000002,0.5079351464442408,0.8242677824267782,0.7857142857142857,0.7333333333333333,0.8791946308724832,0.7586206896551724,93.10344827586206,0.8242677824267782,0.7857142857142857,0.7333333333333333,0.8791946308724832,0.7586206896551724
tcn,Model G3 (1D TCN),4,Fold 4,Home_02,83618,25,0.55,35.04605619999984,0.4254681632657445,0.9346938775510204,0.8,0.36363636363636365,0.9910313901345291,0.5000000000000001,28.57142857142857,0.9346938775510204,0.8,0.36363636363636365,0.9910313901345291,0.5000000000000001
transformer,Model G4 (Transformer Encoder),1,Fold 1,Coffee_room_01,46242,3,0.55,25.653574599999956,0.5507679282869228,0.898406374501992,0.8853503184713376,0.8081395348837209,0.9454545454545454,0.8449848024316109,85.1063829787234,0.898406374501992,0.8903225806451613,0.8023255813953488,0.9484848484848485,0.8440366972477065
transformer,Model G4 (Transformer Encoder),2,Fold 2,Coffee_room_02,46242,7,0.3,30.66269569999986,0.5416387804871192,0.9390243902439024,0.7037037037037037,0.8085106382978723,0.9559228650137741,0.7524752475247524,91.66666666666666,0.9195121951219513,0.6,0.8936170212765957,0.9228650137741047,0.7179487179487181
transformer,Model G4 (Transformer Encoder),3,Fold 3,Home_01,46242,27,0.5,36.74642300000005,0.5046037656912368,0.7949790794979079,0.735632183908046,0.7111111111111111,0.8456375838926175,0.7231638418079096,93.10344827586206,0.7949790794979079,0.735632183908046,0.7111111111111111,0.8456375838926175,0.7231638418079096
transformer,Model G4 (Transformer Encoder),4,Fold 4,Home_02,46242,39,0.5,35.58375569999998,0.48033469387593536,0.889795918367347,0.4074074074074074,0.5,0.9282511210762332,0.44897959183673464,57.14285714285714,0.889795918367347,0.4074074074074074,0.5,0.9282511210762332,0.44897959183673464
