model_key,model_name,fold_num,fold_name,test_location,best_epoch,best_tau,acc_050,prec_050,sens_050,spec_050,f1_050,event_sens_050,acc_tau,prec_tau,sens_tau,spec_tau,f1_tau
e1,Model E1 (Pose Geometry),1,Fold 1,Coffee_room_01,47,0.9000000000000001,0.9083665338645418,0.8620689655172413,0.872093023255814,0.9272727272727272,0.8670520231213873,95.74468085106383,0.8725099601593626,0.9029850746268657,0.7034883720930233,0.9606060606060606,0.7908496732026145
e1,Model E1 (Pose Geometry),2,Fold 2,Coffee_room_02,38,0.55,0.9170731707317074,0.5942028985507246,0.8723404255319149,0.9228650137741047,0.7068965517241379,100.0,0.9219512195121952,0.6153846153846154,0.851063829787234,0.931129476584022,0.7142857142857144
e1,Model E1 (Pose Geometry),3,Fold 3,Home_01,36,0.5,0.8200836820083682,0.7764705882352941,0.7333333333333333,0.87248322147651,0.7542857142857142,89.65517241379311,0.8200836820083682,0.7764705882352941,0.7333333333333333,0.87248322147651,0.7542857142857142
e1,Model E1 (Pose Geometry),4,Fold 4,Home_02,9,0.7000000000000001,0.9183673469387755,0.55,0.5,0.9596412556053812,0.5238095238095238,57.14285714285714,0.9469387755102041,1.0,0.4090909090909091,1.0,0.5806451612903226
e2,Model E2 (Pose + Velocity),1,Fold 1,Coffee_room_01,44,0.7500000000000001,0.9183266932270916,0.8579234972677595,0.9127906976744186,0.9212121212121213,0.8845070422535212,100.0,0.9103585657370518,0.8895705521472392,0.8430232558139535,0.9454545454545454,0.8656716417910448
e2,Model E2 (Pose + Velocity),2,Fold 2,Coffee_room_02,40,0.35000000000000003,0.9439024390243902,0.74,0.7872340425531915,0.9641873278236914,0.7628865979381443,91.66666666666666,0.9390243902439024,0.6896551724137931,0.851063829787234,0.9504132231404959,0.761904761904762
e2,Model E2 (Pose + Velocity),3,Fold 3,Home_01,15,0.5,0.799163179916318,0.7386363636363636,0.7222222222222222,0.8456375838926175,0.7303370786516853,93.10344827586206,0.799163179916318,0.7386363636363636,0.7222222222222222,0.8456375838926175,0.7303370786516853
e2,Model E2 (Pose + Velocity),4,Fold 4,Home_02,30,0.7000000000000001,0.9142857142857143,0.5238095238095238,0.5,0.9551569506726457,0.5116279069767442,57.14285714285714,0.926530612244898,0.6666666666666666,0.36363636363636365,0.9820627802690582,0.4705882352941177
e3,Model E3 (Pose Motion Geometry),1,Fold 1,Coffee_room_01,49,0.7500000000000001,0.9223107569721115,0.8674033149171271,0.9127906976744186,0.9272727272727272,0.8895184135977336,100.0,0.9023904382470119,0.8819875776397516,0.8255813953488372,0.9424242424242424,0.8528528528528528
e3,Model E3 (Pose Motion Geometry),2,Fold 2,Coffee_room_02,16,0.5,0.9292682926829269,0.640625,0.8723404255319149,0.9366391184573003,0.7387387387387387,100.0,0.9292682926829269,0.640625,0.8723404255319149,0.9366391184573003,0.7387387387387387
e3,Model E3 (Pose Motion Geometry),3,Fold 3,Home_01,14,0.6000000000000001,0.799163179916318,0.7441860465116279,0.7111111111111111,0.8523489932885906,0.7272727272727273,93.10344827586206,0.8075313807531381,0.7682926829268293,0.7,0.87248322147651,0.7325581395348836
e3,Model E3 (Pose Motion Geometry),4,Fold 4,Home_02,24,0.5,0.9183673469387755,0.5625,0.4090909090909091,0.968609865470852,0.47368421052631576,42.857142857142854,0.9183673469387755,0.5625,0.4090909090909091,0.968609865470852,0.47368421052631576
