fold,test_location,tau_inner_selected,val_f1_inner,f1_test_selected,f1_test_default_050,f1_test_sweep_055,precision,recall,specificity,accuracy,tp,fp,tn,fn
1,Coffee_room_01,0.5,0.9696969696969697,0.9187675070028011,0.9187675070028011,0.9213483146067416,0.8864864864864865,0.9534883720930233,0.9363636363636364,0.9422310756972112,164,21,309,8
2,Coffee_room_02,0.46900000000000003,0.920863309352518,0.9038461538461539,0.9019607843137255,0.92,0.8245614035087719,1.0,0.9724517906336089,0.975609756097561,47,10,353,0
3,Home_01,0.5,0.9302325581395349,0.7738693467336684,0.7738693467336684,0.7872340425531915,0.7064220183486238,0.8555555555555555,0.785234899328859,0.8117154811715481,77,32,117,13
4,Home_02,0.5,0.9259259259259259,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.8333333333333334,0.9090909090909091,0.9820627802690582,0.9755102040816327,20,4,219,2
