epoch,train_loss,train_acc,val_loss,val_acc,val_f1,val_sensitivity,val_specificity
1,0.4527933794718522,0.8576923076923076,0.13612535543913065,1.0,1.0,1.0,1.0
2,0.15024258995858522,0.9653846153846154,0.05631376820248227,1.0,1.0,1.0,1.0
3,0.07833213660722742,0.9807692307692307,0.013595129455288136,1.0,1.0,1.0,1.0
4,0.04913354466597621,0.9846153846153847,0.013125945180437939,1.0,1.0,1.0,1.0
5,0.024675035218779857,0.9961538461538462,0.00405950479339375,1.0,1.0,1.0,1.0
6,0.01652851611814605,0.9961538461538462,0.0026310612261430683,1.0,1.0,1.0,1.0
7,0.018687912220887552,1.0,0.0012427776522980461,1.0,1.0,1.0,1.0
8,0.00872917707534865,1.0,0.0009489437340329628,1.0,1.0,1.0,1.0
9,0.009446411687307633,1.0,0.000603673855102686,1.0,1.0,1.0,1.0
10,0.010934041900999057,0.9923076923076923,0.00046858927751515674,1.0,1.0,1.0,1.0
11,0.0067017060126930185,1.0,0.0004838725196329273,1.0,1.0,1.0,1.0
12,0.009881861892790767,1.0,0.0005647558402182936,1.0,1.0,1.0,1.0
13,0.010609520130226603,1.0,0.0003693228499773689,1.0,1.0,1.0,1.0
14,0.003754490731751922,1.0,0.00035384616970455407,1.0,1.0,1.0,1.0
15,0.0033890878263963926,1.0,7.863254070661093e-05,1.0,1.0,1.0,1.0
16,0.001931000435545754,1.0,7.32700256279248e-05,1.0,1.0,1.0,1.0
17,0.006459143795962938,1.0,5.8095643524655654e-05,1.0,1.0,1.0,1.0
18,0.0018593322981150077,1.0,0.00010988853318287754,1.0,1.0,1.0,1.0
19,0.0016045932745809156,1.0,4.967725768638893e-05,1.0,1.0,1.0,1.0
20,0.004771014841165966,1.0,4.5487128453038e-05,1.0,1.0,1.0,1.0
21,0.004991773033522735,1.0,6.988844789084185e-05,1.0,1.0,1.0,1.0
22,0.002453374298714222,1.0,4.346164533925794e-05,1.0,1.0,1.0,1.0
23,0.001745657660271368,1.0,5.046109308611798e-05,1.0,1.0,1.0,1.0
24,0.0030771988133962555,1.0,0.00011360673643985349,1.0,1.0,1.0,1.0
25,0.0015019447538459365,1.0,4.563162194646666e-05,1.0,1.0,1.0,1.0
26,0.012502745675514093,1.0,3.3184037168973384e-05,1.0,1.0,1.0,1.0
27,0.0008999851886703534,1.0,2.820559998895078e-05,1.0,1.0,1.0,1.0
28,0.0009877695639471103,1.0,2.7101932570739927e-05,1.0,1.0,1.0,1.0
29,0.0015926502195493589,1.0,1.9349551406932288e-05,1.0,1.0,1.0,1.0
30,0.008496453591131005,1.0,3.300322110367973e-05,1.0,1.0,1.0,1.0
31,0.001914596675368767,1.0,3.2980312697923394e-05,1.0,1.0,1.0,1.0
32,0.001168146230037774,1.0,3.383958751348293e-05,1.0,1.0,1.0,1.0
33,0.0013418901689944435,1.0,3.085237170907032e-05,1.0,1.0,1.0,1.0
34,0.0017621102186939634,1.0,2.7507427538493238e-05,1.0,1.0,1.0,1.0
35,0.001954368454595659,1.0,2.3950916685933852e-05,1.0,1.0,1.0,1.0
36,0.009553529967669104,1.0,2.2717246472795925e-05,1.0,1.0,1.0,1.0
37,0.0013228600337872474,1.0,1.9732015376181936e-05,1.0,1.0,1.0,1.0
38,0.0049662620460227255,1.0,1.812712686312035e-05,1.0,1.0,1.0,1.0
39,0.006337194147760364,1.0,2.351784707929821e-05,1.0,1.0,1.0,1.0
40,0.0012339137854304192,1.0,2.209039451033441e-05,1.0,1.0,1.0,1.0
41,0.001914235196559625,1.0,2.7497695088567167e-05,1.0,1.0,1.0,1.0
42,0.0068392391562779355,1.0,2.729538894839628e-05,1.0,1.0,1.0,1.0
43,0.002306654225285106,1.0,2.2655840226258703e-05,1.0,1.0,1.0,1.0
44,0.004325102271660888,1.0,2.0513303285712863e-05,1.0,1.0,1.0,1.0
45,0.0014769517861658152,1.0,1.947111004969117e-05,1.0,1.0,1.0,1.0
46,0.004375624164864488,1.0,1.9049797331520886e-05,1.0,1.0,1.0,1.0
47,0.007460933664760187,1.0,1.8617404133643706e-05,1.0,1.0,1.0,1.0
48,0.005036148731519811,1.0,1.863957055002571e-05,1.0,1.0,1.0,1.0
49,0.00508533187780813,1.0,1.8495452061884852e-05,1.0,1.0,1.0,1.0
50,0.0006199719101354836,1.0,1.8367946509721775e-05,1.0,1.0,1.0,1.0
